Actual,Predicted
22.377539899009477,21.765972500196067
20.130157178553407,20.23887265601715
31.31757942740338,31.676912163490204
20.934749081916227,21.807036498362066
21.98956504220655,20.49924320799102
27.497224535970343,27.08486150259354
31.22502030867096,31.567307081294953
29.449556106240163,28.739362891676716
31.211925981425797,31.075150013285658
25.584915729915704,24.529718222736165
30.69363793013016,30.414458802528824
24.419129548718924,25.15278199740686
22.100167719573296,22.464836641796992
27.23602133951874,27.364830718892737
28.651112484828168,27.444622105915922
34.12706166309342,34.26518401762081
31.79798359110385,32.2912802157523
28.23427103698708,29.211161537925634
22.44677234814176,22.769634871169163
32.874860589110206,33.41146737637883
30.61859785883193,30.35786746554431
35.03621441578756,35.92345531054097
20.97990307098357,20.919319727968585
18.61913712421987,20.792219321260653
24.41026229301252,25.247659896733538
21.864242246440615,22.035787100681834
33.969528129666266,31.41781438484182
30.158260708915456,30.212305318244137
29.045524513351765,28.553781270712378
32.074090574567045,32.27873867225343
37.11908250123056,35.943450252907816
31.666675043586288,31.25986564972615
33.504047636151014,32.59366895823456
32.56497977909908,33.21063527492331
21.571099884919978,22.672618333413016
22.58970153308967,22.8267476658306
26.646577287610235,25.31760414460722
36.54666687711069,34.93086685456711
19.09036051190921,20.573617359398423
35.931010096568706,35.96544865551941
24.284062925951226,23.953083229714547
21.81085311415921,24.103996204949215
22.448505087774866,21.696351973586065
22.07160082648896,21.326088901571485
25.47744180030697,25.548533741914376
22.22308876781581,21.098620987228543
30.64913020749529,29.46102335749301
33.05909538677342,33.700459229818854
24.642646551491534,24.827562676782648
23.316857987062424,23.771900006387085
29.435644996097285,28.19011374060243
28.374341741812515,27.201706713687063
31.26018215398879,31.18741062016609
32.4576041140868,32.74876363342477
34.28068500440191,34.835456752842326
19.937870276093367,20.706575316269777
28.576554343449292,28.127409097626227
32.20393937716518,31.319650562517865
25.8856089955496,25.611398143121754
32.69775407092526,32.89093722184651
30.71710576763058,30.4203925994945
22.942030558021557,23.565422252316743
30.581740707417374,29.057434436502326
25.757274811543816,25.860185389486034
25.4765473088146,25.743199432331206
22.09333714535095,21.699620722013982
29.017966443236183,29.47452434301528
31.122388366246845,30.702291960519364
34.17946452554047,34.62984031054737
30.434449606733157,31.287631588848697
29.380815294801096,30.242121516333732
22.72522632089797,21.854204413984966
22.018614264425807,22.941263233267154
32.0074355937131,32.25234678132509
30.055368440849342,29.126197316804024
27.054314465542348,27.415400362579852
31.44669862257642,31.273790660252235
20.701813139037277,21.66634685350947
24.0189564692648,22.47388693978927
20.13353877160931,20.579377313794716
30.445989691598527,28.66285802070596
32.17886422869799,31.756676162214468
34.188749415908504,32.90204823227086
22.49196515654413,22.34446297781526
36.43382920283782,35.97964503225299
21.626142498997957,22.572422697111016
37.07755319268471,36.001857358693854
26.439688157319637,26.717540188744433
29.07857967921614,28.809095691487624
25.940807771275807,25.419075918761045
21.09914549758089,21.06358970645118
28.521602320284163,28.14272695823055
27.0435048518137,25.58787662770374
19.94266858042125,20.97082732363209
25.50110053639942,24.437167153595382
32.376473578699866,32.55639041620549
26.669922065858312,25.897791859123586
32.76624796566507,33.62782721830466
20.939911622499523,22.260063239510277
21.183415868193336,21.413896138100867
34.52092162008359,33.31751619805247
23.524579577143104,21.272648127015078
31.278547579262995,31.750269601240515
26.78023035580252,26.88725879801775
31.991108815665463,31.340468426101115
29.158003713255827,27.68808668277367
24.691480682358105,24.556122658372548
22.39912696189232,23.144075728733497
22.6407452928313,21.958884445410085
33.25511056396349,32.844567637122985
19.007760358799995,20.544512068608228
23.28167926195268,22.09700464016516
28.188119521764747,28.440354161174973
26.40730526013485,27.071289570876665
34.442663896005065,35.45754242438221
21.061227505756868,20.455815810353577
23.15799499354368,23.23644209883392
30.274303267772577,30.049751062870367
23.48815236457619,23.130232157315277
23.16331936388004,22.22166686697603
22.398368358197835,22.259451899600332
30.64745144963434,30.060803924882418
23.93141089489181,25.037720172635126
25.574262484924905,25.194022729884008
24.554557015138524,24.640554266769783
33.10459561774221,32.7117806260255
29.930860009740005,30.96687925504642
35.99234088241126,35.567428623257115
34.34710430261572,33.82792752925771
31.068922376249844,30.71812706084779
33.16633283428617,33.56889343324747
28.11602761921684,29.65480483204344
34.0051814291451,32.38991938410219
31.159894817973388,32.07273203914164
32.132554766653456,31.39318044616384
23.10987820681605,22.242430283834715
34.46511179549028,34.49781941028644
25.41575796821856,24.83213167178524
22.84822326575591,21.291165833020987
32.710243570060584,32.56276799532498
